Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
63,1,2,2,85.94,419,0
22,1,1,5,56.83,228,0
43,0,4,2,57.42,98,1
50,1,4,7,52.39,87,1
55,0,2,12,80.89,61,0
56,0,4,10,92.21,148,1
34,0,2,6,97.49,355,1
61,1,0,21,51.93,377,0
19,1,3,14,41.11,229,1
44,1,1,10,88.5,336,0
18,0,0,5,99.22,410,0
24,0,3,19,36.32,424,0
45,1,1,20,81.4,332,0
39,1,0,7,69.92,263,1
36,1,3,23,73.72,453,0
25,1,1,1,99.9,355,0
28,0,0,23,40.75,484,1
24,1,3,19,79.75,265,0
34,1,3,1,69.65,214,0
31,1,3,12,55.98,223,1
61,0,1,24,78.18,222,1
68,1,0,23,97.43,274,0
23,1,3,5,91.77,139,0
28,0,4,6,39.21,383,1
35,0,4,4,71.28,243,0
26,1,1,6,83.54,355,1
65,1,3,14,85.02,158,0
18,0,2,13,71.95,420,0
21,1,3,9,70.9,328,0
55,0,4,5,88.42,121,1
42,1,0,4,54.61,452,1
34,0,4,6,40.53,313,0
29,1,1,15,88.28,412,0
39,1,0,3,67.99,106,1
61,1,1,3,38.79,143,0
25,1,1,11,64.51,458,0
63,0,2,3,77.56,150,1
35,0,1,8,77.19,297,0
69,1,3,22,88.07,198,0
68,0,3,14,66.62,138,1
40,0,0,6,92.83,356,1
69,0,1,23,74.74,455,1
27,0,3,14,33.19,73,1
23,1,3,14,69.8,280,0
41,0,0,9,74.69,328,0
18,1,0,7,40.17,468,0
34,1,1,12,46.92,432,0
22,1,2,22,71.33,218,1
27,1,4,19,54.97,53,0
57,1,3,8,66.21,308,0
44,1,2,6,72.26,422,1
20,1,0,9,54.52,351,0
55,0,4,22,40.56,475,0
59,1,1,15,92.82,116,1
50,1,0,12,87.43,200,0
28,1,4,17,42.02,374,1
64,1,1,20,35.12,212,1
60,0,3,11,92.96,354,0
68,0,2,17,94.22,135,1
36,1,2,13,70.82,466,0
40,1,3,18,90.91,63,0
65,1,0,23,65.27,388,0
21,1,1,16,84.28,216,1
52,1,2,8,71.2,482,0
51,0,2,22,81.97,195,0
60,1,3,1,72.59,82,1
57,0,2,15,46.86,287,0
55,1,3,11,83.31,397,1
26,1,1,3,63.17,381,1
65,0,3,16,63.47,216,0
27,0,0,1,41.74,311,0
56,1,0,19,95.72,318,1
38,0,3,20,59.87,212,0
39,1,3,6,44.53,134,0
45,1,2,12,63.92,193,1
19,0,4,18,68.9,248,1
47,1,3,12,44.37,472,1
47,0,1,12,35.01,396,0
56,1,4,9,67.98,161,1
67,1,3,24,95.27,419,1
67,1,1,1,92.33,105,1
20,1,0,18,51.93,308,1
50,1,3,14,88.88,193,0
53,1,0,7,93.05,189,1
39,0,0,9,33.49,230,1
25,0,0,8,46.18,431,1
60,0,2,10,65.92,234,1
28,0,4,9,72.49,400,0
66,1,3,11,68.73,118,0
58,0,0,13,71.22,452,0
35,1,2,18,82.09,168,1
38,0,4,21,40.88,406,1
50,1,1,2,57.57,359,0
43,0,3,22,42.0,373,1
69,0,3,8,71.16,294,1
66,1,2,11,48.37,136,0
42,1,0,7,86.52,388,1
26,0,0,18,67.51,234,0
54,1,3,4,74.94,141,1
53,1,2,8,68.52,413,1
18,1,1,17,94.33,219,0
28,1,1,9,82.0,235,0
30,0,0,10,71.02,190,0
20,0,1,19,69.67,297,0
43,0,0,7,83.34,120,0
65,0,3,16,37.11,315,0
51,0,2,14,99.09,141,1
67,0,3,12,72.9,180,1
25,0,4,1,90.27,353,0
57,0,2,14,84.68,208,0
43,1,4,1,47.53,77,1
43,1,2,24,36.72,162,1
21,0,4,20,56.76,94,1
20,1,4,10,42.58,431,1
44,1,2,13,30.03,354,1
66,1,4,20,48.48,69,1
40,1,2,10,35.28,308,0
37,1,2,15,90.01,291,0
19,0,3,8,97.71,410,0
43,1,2,5,39.95,305,1
35,0,2,9,70.92,92,0
39,1,2,1,39.46,355,0
35,1,0,5,38.82,462,0
35,0,4,23,76.34,194,1
26,0,3,15,63.31,252,1
69,1,3,3,35.24,336,0
26,1,4,10,53.59,381,0
56,0,2,4,92.06,239,0
49,0,2,5,91.89,166,1
33,0,0,12,71.65,415,0
61,0,4,10,48.59,317,1
54,0,1,21,97.67,121,0
68,0,4,18,58.89,420,1
54,0,3,12,93.76,312,1
54,1,4,11,48.81,144,0
39,1,3,17,64.39,247,1
46,1,4,21,78.44,147,1
33,0,1,14,51.71,415,1
19,1,3,18,43.33,100,1
35,0,1,19,91.58,240,0
32,0,3,4,56.36,89,1
44,1,0,7,37.97,384,0
51,0,1,14,81.4,249,0
26,1,3,6,41.45,222,0
58,0,4,16,56.9,433,1
36,1,2,16,80.78,161,0
45,1,1,4,77.16,422,1
48,1,3,3,48.32,93,1
18,0,0,20,42.45,311,0
60,0,0,1,84.1,107,0
23,1,1,24,74.34,178,1
36,0,0,15,62.51,474,0
57,0,1,10,91.82,165,1
51,1,3,1,75.5,88,1
27,1,2,8,52.52,391,1
46,1,1,16,35.0,154,1
30,1,0,10,55.89,451,0
51,0,4,16,86.08,129,0
33,1,4,13,54.43,222,1
61,1,1,8,94.62,326,1
53,1,2,6,79.18,436,1
57,1,2,15,81.62,440,0
70,0,2,18,39.45,81,1
27,1,1,22,44.38,129,0
56,0,2,1,96.24,480,1
27,1,4,19,48.66,301,1
43,0,3,10,69.41,194,0
46,0,4,9,32.07,391,1
37,0,0,5,36.25,318,0
63,1,0,22,40.47,246,1
47,1,1,20,68.51,363,1
66,0,1,20,38.04,369,1
43,1,1,3,88.61,385,1
20,0,2,1,69.41,336,1
51,0,4,21,63.8,255,0
68,0,3,12,96.14,362,0
24,0,1,16,82.47,209,0
31,0,2,11,89.37,397,1
43,1,1,18,93.33,412,0
66,1,4,6,97.6,209,1
58,0,0,1,74.67,297,0
59,0,2,12,49.97,467,1
26,0,4,2,73.51,231,0
41,1,4,21,68.94,224,1
51,1,3,15,94.54,340,0
64,1,2,12,36.45,368,0
43,0,0,20,61.8,373,1
33,1,2,22,32.72,360,1
44,0,1,13,86.55,176,1
42,0,1,18,69.1,360,0
19,0,3,7,87.76,144,1
18,1,0,11,63.64,121,0
43,1,2,14,58.26,458,1
48,0,0,8,70.77,239,0
48,0,2,10,56.5,149,1
44,0,0,3,69.58,82,1
26,0,1,9,84.81,204,1
39,1,4,4,74.74,280,0
24,0,3,21,89.4,124,0
57,0,0,23,48.26,185,1
70,1,0,2,80.27,77,1
57,1,2,14,62.68,447,0
59,1,0,15,66.34,211,1
31,1,2,20,31.56,214,1
66,0,4,15,75.05,363,0
21,1,0,5,43.71,245,1
65,0,0,23,87.92,262,0
58,0,2,1,94.7,431,1
30,0,4,13,82.16,494,0
27,1,3,20,50.75,393,0
49,1,1,17,92.73,313,1
33,1,2,12,52.13,53,1
58,0,1,5,95.08,191,1
18,0,0,15,54.25,397,1
45,1,0,21,75.79,498,0
51,1,0,22,38.74,466,1
36,1,3,23,45.61,187,0
41,1,3,6,85.84,451,0
54,0,1,7,33.31,207,0
44,0,2,11,46.44,389,0
52,1,2,6,30.92,246,0
61,1,2,22,53.87,182,0
26,0,3,4,64.06,342,0
20,0,4,14,34.45,76,1
28,1,3,19,64.99,159,1
27,0,4,8,58.35,347,0
23,1,0,18,48.43,229,0
45,1,1,1,38.61,270,1
23,1,4,15,63.17,250,1
54,1,2,4,83.97,382,1
19,0,3,4,30.96,368,1
43,1,4,10,95.08,367,1
51,0,0,2,50.67,460,0
31,0,0,17,82.19,151,1
20,1,4,4,37.97,144,1
30,0,0,7,82.71,111,0
32,0,1,1,90.11,383,0
60,0,2,12,78.01,278,1
37,0,2,11,56.9,245,0
52,1,0,9,86.91,175,0
40,1,0,12,75.96,326,0
26,0,2,18,74.16,488,1
44,1,1,8,36.97,218,1
29,0,1,13,87.03,77,1
35,0,2,4,56.16,368,0
25,0,2,4,42.44,439,0
48,0,3,14,54.38,86,0
49,0,3,6,79.4,134,0
43,1,3,4,30.43,90,0
58,1,0,12,70.06,91,1
68,0,2,18,53.23,273,0
21,1,1,21,53.75,131,0
35,1,4,24,40.27,443,0
51,1,2,16,35.13,269,1
38,1,0,4,43.23,160,1
22,1,3,18,63.13,484,0
44,1,2,11,52.79,292,0
47,0,0,10,85.06,126,0
38,0,0,4,52.57,90,0
61,1,0,15,59.17,491,0
25,0,4,1,74.06,447,0
64,0,2,23,46.39,392,1
34,0,1,13,66.89,362,1
67,0,3,15,70.64,53,0
49,1,4,12,40.53,379,1
63,0,1,9,93.51,90,1
56,0,2,15,32.07,267,0
43,0,4,2,33.93,248,0
51,1,4,9,43.47,346,1
54,0,2,13,49.05,432,0
32,1,1,6,48.25,190,1
55,1,1,24,98.27,471,1
70,1,4,10,95.56,156,1
44,1,1,21,53.15,410,1
18,1,3,2,30.91,225,1
28,0,3,4,90.72,196,1
58,1,1,16,63.22,470,1
67,0,0,12,86.94,146,0
52,0,4,15,56.77,316,1
32,0,4,23,45.57,72,0
51,0,2,10,44.61,300,0
70,0,4,11,39.14,331,0
50,1,4,15,77.43,229,0
37,1,0,15,52.48,330,0
51,1,4,11,94.18,146,1
61,1,1,17,50.92,367,0
26,1,2,5,92.91,500,1
62,0,0,19,97.65,455,1
19,1,0,4,87.47,382,0
58,1,0,2,81.99,392,0
58,1,0,7,49.1,427,0
65,1,4,9,92.0,192,1
23,0,0,15,31.22,71,1
27,0,1,5,77.72,384,1
21,0,2,8,45.48,106,1
46,0,3,24,37.69,122,1
40,1,0,21,40.47,177,1
67,0,1,12,87.79,393,1
20,0,3,24,95.01,100,0
60,1,4,21,59.12,63,1
40,0,3,24,65.81,300,1
30,1,1,10,64.5,131,1
29,0,4,5,59.91,370,0
51,1,3,4,87.5,430,0
52,0,2,5,71.53,402,0
39,0,1,24,82.98,386,1
66,0,2,16,79.17,198,0
25,1,4,23,97.45,246,1
37,0,4,13,78.8,167,0
36,1,4,12,89.48,269,0
64,1,1,9,94.37,296,0
54,0,1,14,34.1,499,1
39,0,2,8,84.63,497,1
53,0,0,5,72.77,208,1
69,0,1,24,65.12,319,0
26,0,3,17,56.59,162,1
60,0,4,1,96.72,381,1
50,0,4,19,41.37,356,0
50,1,1,13,62.2,181,0
57,1,1,16,84.65,476,0
61,1,1,21,73.48,389,1
42,1,0,5,68.69,121,1
39,0,4,19,72.14,176,1
53,0,3,20,39.46,230,1
40,1,0,8,40.11,391,0
44,1,4,17,51.24,424,0
22,1,4,1,79.09,326,1
59,0,2,16,43.27,294,1
49,0,4,21,63.94,189,1
57,1,3,23,50.28,305,1
21,1,2,14,59.6,335,0
67,0,3,8,50.8,302,0
49,1,0,11,61.81,336,1
51,1,3,17,91.51,430,0
47,1,2,4,97.99,157,0
39,0,1,16,35.78,419,0
64,0,3,12,93.42,372,0
59,0,0,20,44.61,172,1
67,0,0,12,91.51,67,0
26,1,2,18,57.52,224,0
37,0,2,10,33.04,54,1
28,1,2,18,35.07,362,0
52,0,4,23,31.56,449,1
22,0,1,15,64.19,151,0
35,0,2,24,43.46,332,0
35,1,4,24,99.27,360,1
68,1,4,22,99.31,186,0
32,1,1,17,41.76,464,1
21,0,4,20,42.43,328,1
54,0,2,22,41.53,405,0
57,0,0,2,68.18,494,0
38,0,0,21,87.8,259,0
70,0,2,19,46.73,416,0
20,1,3,15,37.31,285,0
42,0,0,15,96.43,170,1
43,1,2,18,75.64,432,0
61,0,1,23,96.27,281,1
50,1,0,10,78.38,307,0
60,0,0,23,97.16,180,1
41,1,1,1,40.0,290,1
26,1,0,23,48.01,76,0
24,0,3,15,57.82,240,1
70,0,3,18,74.97,316,0
39,1,4,5,36.61,446,1
48,0,1,9,48.74,394,1
59,0,1,21,65.73,287,1
29,1,4,14,52.15,341,1
37,0,1,1,81.36,485,1
45,1,1,21,32.82,354,0
42,0,2,2,60.8,76,0
43,1,4,21,93.61,71,0
37,1,2,19,31.15,309,0
69,1,0,12,88.35,355,0
35,0,3,15,68.51,216,1
41,1,1,12,52.87,343,0
56,1,3,20,67.56,266,1
59,0,2,3,65.66,210,0
35,1,1,13,40.46,402,0
43,0,1,8,45.12,416,0
37,1,0,11,79.98,193,1
69,0,4,22,85.43,432,0
41,0,2,12,57.51,168,0
59,1,2,1,61.36,105,0
37,1,3,14,50.63,302,0
20,0,0,15,95.45,308,1
68,0,0,20,57.08,86,1
27,0,1,14,54.35,410,1
46,0,2,1,96.5,150,1
54,0,3,7,70.7,467,1
25,1,4,19,70.15,104,0
62,1,0,19,73.75,209,0
39,0,2,20,86.78,221,1
69,0,3,11,78.26,280,0
61,1,0,1,33.59,327,0
54,0,4,14,78.78,354,0
51,0,4,9,88.69,171,0
58,1,4,6,36.27,459,0
56,0,1,22,57.56,325,1
62,0,1,7,51.61,337,1
39,1,4,10,33.69,341,1
47,1,3,18,94.96,189,0
56,0,1,15,51.1,255,0
37,1,4,11,39.75,269,1
56,0,1,12,82.96,324,0
59,0,1,17,31.6,126,0
53,1,0,4,94.01,271,1
43,0,2,13,76.7,284,0
18,0,4,17,86.25,498,1
33,0,3,19,84.58,103,1
32,0,4,22,43.99,394,1
44,0,3,19,79.74,244,1
69,0,0,9,44.15,285,1
60,1,0,22,75.38,287,0
64,1,2,16,42.63,459,1
61,1,4,2,66.42,261,1
62,1,4,23,39.83,420,0
23,0,4,22,30.11,132,0
44,1,0,10,38.46,323,1
26,0,3,9,85.19,426,1
49,1,3,22,55.51,101,0
33,1,2,16,77.29,228,0
62,1,0,15,75.2,348,1
58,1,1,24,92.77,444,1
24,0,0,24,69.75,306,0
68,0,4,12,76.3,209,0
45,0,0,11,33.17,207,0
62,0,2,15,74.78,230,0
40,0,3,11,49.37,398,0
68,0,3,5,50.07,363,1
42,0,2,7,86.95,253,0
20,0,1,5,79.58,402,1
51,1,0,10,37.15,353,1
53,0,1,22,63.41,93,0
65,1,3,3,84.8,54,0
47,1,4,13,81.94,498,1
59,0,1,6,44.27,421,1
18,0,3,6,50.42,412,0
25,1,4,12,82.15,193,1
29,1,3,16,74.02,378,1
45,0,0,7,31.11,316,0
60,1,4,3,78.78,342,0
63,1,1,20,55.25,222,0
29,1,1,4,31.79,494,1
36,1,1,7,42.46,189,1
28,0,2,16,82.86,334,1
24,1,2,16,75.66,264,0
27,1,0,10,38.93,434,0
19,1,2,10,78.33,120,0
21,1,0,22,87.43,96,0
67,1,2,10,67.07,166,1
42,1,3,22,79.18,122,1
25,0,2,3,96.31,417,0
30,1,4,21,80.98,415,1
24,0,4,3,77.98,79,0
59,1,2,16,89.38,188,0
58,0,3,2,87.54,462,1
63,0,0,13,46.44,464,0
43,0,2,13,54.43,280,0
32,1,1,23,66.86,404,1
63,0,2,19,48.28,226,0
33,0,4,10,32.86,311,0
42,1,1,24,57.08,158,1
23,1,1,19,97.73,315,1
54,1,4,12,74.15,438,0
70,1,0,6,71.27,281,1
51,0,0,12,88.91,452,1
45,0,1,16,49.51,382,1
30,1,2,6,48.83,272,1
51,0,1,6,37.58,188,0
21,1,0,24,78.62,65,1
24,1,4,22,37.02,460,0
38,0,2,11,69.87,443,1
50,1,3,22,42.0,344,0
44,1,4,2,54.9,374,1
47,1,1,16,31.77,130,0
65,0,1,12,85.0,163,0
25,0,3,6,80.08,246,1
62,1,4,18,86.67,76,0
64,0,0,20,56.32,131,0
50,0,4,21,57.76,497,0
22,1,2,14,93.42,357,0
64,0,1,13,88.26,226,0
31,0,0,12,38.64,277,1
68,1,1,17,76.29,178,1
35,0,1,11,96.72,475,1
41,1,1,1,74.85,301,1
21,0,4,23,57.57,105,1
43,0,3,7,82.14,333,1
60,0,4,4,96.12,392,0
58,0,1,9,66.5,177,1
20,0,1,21,31.61,168,0
46,1,1,11,68.39,382,1
36,0,2,17,48.96,190,1
20,1,3,20,60.22,94,0
22,1,3,3,97.32,155,0
51,0,3,7,38.27,438,0
20,1,2,22,99.62,361,0
51,0,2,12,43.55,423,1
36,1,4,10,33.81,377,1
19,0,3,3,56.6,350,1
29,1,3,17,56.72,325,1
58,0,2,19,91.92,280,1
30,0,1,6,90.39,409,1
28,0,4,7,94.86,435,0
20,0,1,14,87.68,374,1
24,1,1,2,34.15,188,0
37,0,2,4,39.29,269,1
29,1,2,5,82.23,455,1
55,1,1,20,71.27,136,0
45,0,4,16,76.69,445,0
18,0,0,22,93.98,262,0
65,0,1,3,91.78,287,0
34,1,3,2,53.24,498,1
33,1,1,15,40.7,132,1
46,0,2,1,91.46,297,1
26,0,4,23,95.32,190,1
29,1,0,20,84.66,343,0
31,0,2,9,72.53,205,1
43,1,3,10,87.04,477,0
35,1,1,1,62.5,114,1
42,0,4,20,39.82,471,0
30,0,1,12,65.23,438,0
45,0,1,22,90.88,79,1
32,0,3,24,52.05,349,1
45,0,4,18,77.02,431,1
45,1,2,3,88.11,415,1
38,0,3,19,69.17,278,1
24,1,0,7,89.43,250,0
69,1,0,17,87.79,119,1
62,0,0,6,73.02,449,0
18,1,2,4,42.24,265,0
37,1,0,7,93.9,463,0
35,0,4,13,74.5,240,0
40,0,0,7,85.26,247,0
39,1,0,8,49.85,67,0
55,1,1,8,52.4,425,1
45,1,1,19,78.21,372,1
46,0,4,14,74.31,434,0
44,0,0,17,99.47,307,0
44,0,2,11,65.65,237,0
21,0,2,17,79.97,347,1
62,0,4,5,48.41,319,1
18,1,0,10,49.31,397,1
21,1,3,20,66.45,223,0
39,0,4,5,97.97,299,1
29,1,4,15,92.52,111,1
59,0,2,12,66.99,282,0
70,0,0,23,43.78,346,0
38,1,0,14,70.8,463,0
45,1,1,19,55.65,253,1
43,0,0,3,78.27,116,0
19,1,3,13,62.66,404,1
48,1,4,9,72.68,280,0
68,0,2,10,57.58,415,0
58,1,2,13,94.06,459,1
23,0,2,12,67.61,240,1
26,1,0,15,38.79,480,1
69,1,0,16,73.13,379,0
44,0,2,2,90.42,140,1
33,1,2,1,58.32,396,1
58,1,1,2,57.12,328,0
62,1,2,13,89.82,359,0
22,1,3,10,72.21,96,1
67,1,3,12,40.58,235,1
62,1,3,7,40.81,125,1
37,0,4,8,72.32,423,1
24,0,0,15,68.72,280,1
47,1,1,17,83.81,51,0
62,1,4,19,45.45,386,1
37,0,0,12,84.38,311,0
70,0,4,6,71.47,140,1
51,0,0,19,68.45,338,1
18,0,0,18,67.89,251,1
24,0,4,10,42.59,183,1
36,1,0,22,51.65,399,0
61,1,0,7,76.03,57,1
44,0,1,5,56.13,459,0
47,1,3,23,73.52,363,0
41,0,0,21,75.11,407,0
69,1,4,10,77.78,473,1
26,1,3,14,34.93,116,1
18,1,0,11,86.2,200,1
29,0,4,15,40.12,462,1
39,0,4,20,72.55,314,1
28,1,3,14,89.73,244,1
42,1,2,24,96.03,445,1
60,1,2,8,33.99,372,0
55,0,0,14,54.88,178,0
38,0,0,14,45.06,462,1
23,1,1,21,31.64,361,0
62,0,3,23,82.64,238,0
66,0,2,7,35.36,346,0
23,0,0,7,85.13,281,1
23,1,1,2,57.83,140,1
22,1,1,13,84.88,352,1
23,1,0,24,76.73,326,0
64,1,2,11,60.26,359,0
46,0,4,13,34.36,339,0
50,0,2,8,33.75,122,1
23,0,3,9,79.38,63,1
47,0,1,15,57.59,344,0
47,0,2,24,31.14,439,0
38,1,0,19,63.5,95,0
58,1,0,21,50.16,311,0
35,0,1,13,96.4,373,1
67,1,2,5,35.52,484,0
60,0,3,1,90.72,216,0
55,0,2,12,56.34,184,1
37,0,4,1,53.47,434,1
34,0,1,11,33.54,80,1
27,0,0,13,73.41,236,0
31,1,0,4,90.26,197,0
66,1,4,12,47.27,299,0
29,0,4,20,87.28,97,1
55,1,4,2,69.93,285,0
19,1,3,1,87.73,162,1
22,0,4,6,49.39,479,1
62,0,0,17,30.99,355,1
25,0,3,6,75.73,177,0
54,0,3,21,74.05,100,0
30,0,1,5,76.26,173,1
24,1,2,20,32.95,177,1
38,0,1,13,53.41,322,1
37,1,0,7,78.82,84,0
68,1,0,9,69.77,423,0
48,0,2,21,60.16,140,1
65,0,2,15,96.72,135,0
27,1,1,7,67.85,219,1
20,0,0,14,42.09,438,1
53,1,4,22,60.67,428,0
18,0,4,2,70.3,212,0
33,0,4,7,32.86,167,0
25,0,0,12,51.79,264,0
45,1,3,11,54.36,71,1
26,0,4,18,94.15,115,0
23,0,0,9,66.28,426,0
69,0,2,17,99.52,312,0
43,1,4,9,50.36,154,1
34,0,1,17,35.17,294,1
53,0,4,4,43.34,329,0
42,1,1,9,97.09,246,1
36,1,0,1,91.6,427,0
22,1,0,20,57.59,112,0
20,0,1,6,44.78,314,0
41,0,1,24,89.84,63,0
22,0,3,9,46.24,243,0
53,1,3,6,90.63,239,1
58,1,2,2,63.93,236,0
28,0,3,11,65.44,410,1
20,0,2,20,30.81,275,0
42,1,1,2,69.29,100,1
35,1,0,21,74.8,477,0
61,1,0,19,80.34,469,0
58,0,4,21,67.34,316,1
49,1,3,22,94.91,329,0
54,1,1,7,63.19,191,1
46,1,1,11,89.43,458,0
63,1,0,9,85.59,150,1
30,1,4,3,60.35,70,0
56,1,4,5,97.7,434,0
62,0,0,4,56.33,425,1
64,1,2,3,99.71,240,0
59,1,4,5,88.64,149,1
31,0,4,14,49.03,334,1
57,0,2,15,39.21,173,1
44,0,0,2,83.25,299,1
55,1,3,22,67.15,54,0
64,1,0,21,72.95,311,0
34,1,4,21,37.72,324,0
53,1,1,11,71.78,143,0
27,0,2,24,57.3,141,0
58,0,2,18,51.39,129,1
65,1,3,17,84.89,212,0
41,0,4,3,36.59,422,0
49,1,3,6,52.04,383,1
30,0,3,24,69.76,461,0
33,1,0,10,44.34,145,0
56,1,4,16,66.75,214,0
35,1,1,4,45.61,339,0
44,1,2,16,47.02,259,1
58,0,2,23,64.63,225,1
54,0,1,21,97.76,434,1
19,0,1,19,48.75,145,1
22,1,3,5,52.47,190,1
41,0,2,4,41.41,418,1
40,0,2,22,56.66,368,0
51,0,3,20,32.76,219,1
24,1,1,7,59.58,56,1
20,0,4,21,54.98,256,1
20,1,2,5,90.84,147,1
69,0,3,3,95.71,110,1
53,0,2,23,99.24,254,0
30,0,2,20,34.4,137,0
19,0,1,13,90.46,203,0
65,0,3,5,70.95,467,0
21,0,1,2,50.45,94,0
39,1,0,22,50.43,383,0
33,0,3,24,86.57,260,1
30,1,4,21,91.4,407,0
25,0,3,4,36.02,436,1
65,0,3,7,66.0,300,1
25,0,2,3,77.61,418,1
35,1,4,2,32.06,388,0
64,0,3,8,68.02,437,0
38,0,3,12,33.15,459,0
67,0,2,24,44.76,280,0
49,0,1,16,53.45,56,0
38,1,4,19,52.24,50,1
59,1,0,13,44.79,71,0
39,0,4,16,94.37,436,0
69,0,1,2,46.4,394,0
51,0,2,6,68.83,330,0
64,1,0,5,79.91,319,0
27,0,3,10,79.0,158,0
64,0,4,5,98.14,105,1
45,0,3,16,38.35,52,0
53,1,3,18,65.66,284,0
22,1,0,3,42.87,405,0
69,0,4,23,75.83,478,1
44,1,3,23,73.22,430,1
26,1,4,21,40.66,467,1
23,0,0,9,61.68,489,1
51,1,4,1,63.7,256,1
70,0,0,18,87.2,288,0
52,0,1,12,72.96,136,0
70,0,1,19,73.81,260,0
53,1,1,8,71.12,155,1
35,0,4,11,55.83,487,1
68,0,0,8,44.47,340,0
50,0,4,7,49.31,346,0
59,0,0,17,77.07,160,1
52,0,3,24,64.43,342,1
59,0,2,11,49.98,160,0
42,1,1,12,95.76,462,0
41,1,4,9,77.74,391,0
52,0,2,13,76.81,214,0
19,0,1,2,87.92,123,1
48,1,4,23,53.54,109,0
70,0,0,20,32.46,467,1
62,0,4,24,55.31,409,1
44,0,0,17,81.51,108,0
18,1,0,8,38.93,193,0
57,1,4,7,78.91,490,0
45,0,2,17,46.22,282,0
26,0,4,8,46.17,64,0
42,0,2,23,40.97,333,0
26,1,3,2,74.32,189,0
70,0,2,23,91.38,454,0
68,0,3,2,78.74,477,1
40,1,0,3,70.02,119,0
62,1,1,19,39.48,352,0
23,0,0,7,96.83,477,1
36,0,1,22,89.95,351,1
18,1,2,14,93.57,89,1
65,0,2,14,83.33,109,0
48,0,1,6,70.22,283,0
31,0,1,15,41.83,440,0
55,1,4,18,34.81,134,1
32,1,4,11,76.52,385,1
50,0,0,10,79.1,335,1
49,0,4,5,41.39,478,0
57,1,0,11,80.29,226,1
48,0,4,21,61.58,474,0
57,0,1,13,71.4,142,0
31,0,2,17,92.39,313,0
52,0,0,9,78.94,313,1
36,1,3,11,44.15,99,0
41,0,0,16,76.44,449,0
41,1,1,17,43.5,105,1
54,1,1,6,97.98,373,1
24,1,4,16,96.85,111,0
29,1,2,11,40.57,81,1
35,0,0,7,53.18,365,0
70,1,0,6,74.56,179,0
40,0,0,3,83.54,404,0
61,1,2,7,78.0,419,1
41,1,4,14,59.5,281,1
29,0,0,5,92.96,398,0
29,1,0,5,42.57,255,0
54,1,3,23,60.37,373,1
35,1,3,1,59.68,279,0
49,1,3,16,62.07,369,1
64,0,2,7,62.63,331,1
24,0,4,3,96.26,216,1
36,1,0,12,92.98,159,1
60,1,2,17,76.48,438,1
39,1,2,10,46.61,412,0
20,1,2,5,93.19,419,0
53,0,2,16,39.0,114,0
44,1,1,13,61.57,278,0
34,0,1,10,69.07,151,1
20,1,4,1,66.36,133,0
32,0,3,11,51.02,91,1
35,0,0,23,50.19,122,1
43,0,1,1,87.6,369,1
37,0,3,14,47.45,96,0
37,0,3,21,33.28,116,1
47,1,0,12,40.39,440,1
26,0,0,4,86.11,436,1
52,0,3,11,44.83,96,0
48,0,2,15,50.74,471,0
65,1,1,14,30.16,433,0
45,0,3,4,65.29,310,1
39,0,4,14,88.92,438,1
31,0,4,1,54.27,182,1
64,1,3,6,42.88,94,1
19,1,4,16,38.5,493,1
51,1,3,3,42.07,443,1
66,0,1,22,70.29,51,0
32,1,0,19,63.8,298,0
55,0,1,20,86.21,410,0
28,1,4,6,55.08,194,1
36,0,1,10,64.28,279,1
53,0,2,23,49.02,443,1
63,0,2,1,96.47,458,1
34,0,0,17,77.55,389,0
46,1,4,10,30.48,125,0
64,0,0,14,58.22,69,1
61,1,0,17,50.35,380,1
52,1,0,7,67.36,365,1
31,1,0,20,78.96,464,0
42,0,4,13,94.8,83,1
23,1,2,10,69.48,112,0
34,0,1,16,33.07,195,0
64,0,3,22,35.11,371,1
63,1,1,13,44.58,167,0
21,0,0,22,33.17,135,1
55,0,3,21,51.78,59,1
47,1,2,19,92.53,235,1
66,0,0,12,87.36,439,0
53,1,0,11,39.44,345,1
25,0,1,11,54.48,322,0
31,0,4,2,97.07,280,0
68,0,2,21,91.51,341,1
18,1,4,24,73.53,391,1
21,0,1,4,33.26,264,0
67,0,3,4,57.06,489,0
48,0,4,4,99.24,268,0
26,0,0,9,61.25,269,1
18,1,1,2,30.44,248,0
28,0,2,9,46.6,55,1
43,1,3,24,45.67,484,1
18,1,2,6,36.32,362,0
40,1,1,13,63.35,404,1
25,1,3,7,69.25,320,0
59,1,2,15,63.34,305,1
29,0,3,24,84.72,212,0
69,1,2,18,60.99,376,0
38,1,1,16,30.05,158,0
21,1,1,8,74.57,370,0
38,0,1,17,96.12,418,1
55,1,2,6,45.37,452,1
57,1,4,2,82.86,398,1
20,0,3,17,90.46,338,1
69,0,2,6,59.37,474,1
59,1,3,1,32.68,202,0
23,0,1,6,80.61,428,0
46,1,4,5,50.76,273,1
38,0,2,12,65.45,260,1
63,1,2,14,66.88,408,0
32,0,4,15,50.59,109,1
20,1,0,24,48.03,122,0
60,1,4,24,68.09,238,1
28,1,2,8,69.55,394,1
37,0,4,2,56.97,484,1
32,0,1,22,86.7,150,0
49,1,0,4,62.09,208,1
35,1,4,8,55.76,265,1
66,0,4,16,75.75,110,0
24,1,0,9,99.86,377,0
54,1,2,13,58.36,414,0
20,0,2,14,94.53,196,1
